,vmID,vCPU,vMem,DimDataInstance,vSAPS,targetVM,Error,tCPU,tMem,tSAPS
94,aljbiprd2 ,16,65.9,D16s_v3 ,0,D16s_v3,1.1965166979374053e-07,16.0,64.0,17420.0
95,aljbiprda1 ,16,65.9,D16s_v3 ,0,D16s_v3,1.1965166979374053e-07,16.0,64.0,17420.0
96,aljbiprda2 ,16,65.9,D16s_v3 ,0,D16s_v3,1.1965166979374053e-07,16.0,64.0,17420.0
97,aljbiprddbn1 ,64,1056.8,M64s ,0,M64s,3.5658186268946925e-05,64.0,1024.0,67315.0
98,aljbiprddbn2 ,64,1056.8,M64s ,0,M64s,3.5658186268946925e-05,64.0,1024.0,67315.0
99,aljbiprdpas ,16,65.9,D16s_v3 ,0,D16s_v3,1.1965166979374053e-07,16.0,64.0,17420.0
100,aljbiqa ,8,66.0,D8s_v3 ,0,E8s_v3,1.3257802747228818e-07,8.0,64.0,8710.0
101,aljbiqadb ,64,528.4,M64ls ,0,M64ls,8.914546567236614e-06,64.0,512.0,66600.0
102,aljbisu ,8,66.0,D8s_v3 ,0,E8s_v3,1.3257802747228818e-07,8.0,64.0,8710.0
103,aljbisudb ,64,528.4,M64ls ,0,M64ls,8.914546567236614e-06,64.0,512.0,66600.0
104,aljsltdev ,16,32.9,D16s_v3 ,0,D16s_v3,3.205769848786806e-05,16.0,64.0,17420.0
105,aljsltprd1 ,16,32.9,D16s_v3 ,0,D16s_v3,3.205769848786806e-05,16.0,64.0,17420.0
106,aljsltprd2 ,16,32.9,D16s_v3 ,0,D16s_v3,3.205769848786806e-05,16.0,64.0,17420.0
107,aljsltprddb ,8,66.0,D8s_v3 ,0,E8s_v3,1.3257802747228818e-07,8.0,64.0,8710.0
108,aljsltprddbc ,8,65.9,D8s_v3 ,0,E8s_v3,1.1965166979374053e-07,8.0,64.0,8710.0
109,aljsltprdpas ,4,32.9,D4s_v3 ,0,E4sv3,2.684705056313836e-08,4.0,32.0,4355.0
110,aljsltqa ,16,32.9,D16s_v3 ,0,D16s_v3,3.205769848786806e-05,16.0,64.0,17420.0
111,ALJBODEV ,4,34.4,D4s_v3 ,0,E4sv3,1.9091235956009555e-07,4.0,32.0,4355.0
112,ALJBOPRDA1 ,8,68.7,D8s_v3 ,0,E8s_v3,7.321621567157127e-07,8.0,64.0,8710.0
113,ALJBOPRDA2 ,8,68.7,D8s_v3 ,0,E8s_v3,7.321621567157127e-07,8.0,64.0,8710.0
114,ALJBOPRDDB1 ,8,34.4,D8s_v3 ,0,D8s_v3,1.9091235956009555e-07,8.0,32.0,8710.0
115,ALJBOPRDDB2 ,8,34.4,D8s_v3 ,0,D8s_v3,1.9091235956009555e-07,8.0,32.0,8710.0
116,ALJBOPRDP1 ,32,85.9,D32s_v3 ,0,D32s_v3,5.874565541803974e-05,32.0,128.0,34840.0
117,ALJBOPRDP2 ,32,85.9,D32s_v3 ,0,D32s_v3,5.874565541803974e-05,32.0,128.0,34840.0
118,ALJBOQA ,4,34.4,D4s_v3 ,0,E4sv3,1.9091235956009555e-07,4.0,32.0,4355.0
119,ALJBOSU ,4,34.4,D4s_v3 ,0,E4sv3,1.9091235956009555e-07,4.0,32.0,4355.0
120,aljpidev ,4,16.4,D4s_v3 ,0,D4s_v3,5.303121098891528e-09,4.0,16.0,4355.0
121,aljpiprd1 ,8,65.9,D8s_v3 ,0,E8s_v3,1.1965166979374053e-07,8.0,64.0,8710.0
122,aljpiprd2 ,8,66.0,D8s_v3 ,0,E8s_v3,1.3257802747228818e-07,8.0,64.0,8710.0
123,aljpiprddb ,4,32.9,D4s_v3 ,0,E4sv3,2.684705056313836e-08,4.0,32.0,4355.0
124,aljpiprddbc ,4,32.9,D4s_v3 ,0,E4sv3,2.684705056313836e-08,4.0,32.0,4355.0
125,aljpiprdpas ,4,32.9,D4s_v3 ,0,E4sv3,2.684705056313836e-08,4.0,32.0,4355.0
126,aljpiqa ,24,66.0,D32s_v3 ,0,DS15_v2,0.0006854045854195907,20.0,140.0,30430.0
127,aljgrcdev ,4,32.9,D4s_v3 ,0,E4sv3,2.684705056313836e-08,4.0,32.0,4355.0
128,aljgrcprd1 ,4,32.9,D4s_v3 ,0,E4sv3,2.684705056313836e-08,4.0,32.0,4355.0
129,aljgrcprd2 ,4,32.9,D4s_v3 ,0,E4sv3,2.684705056313836e-08,4.0,32.0,4355.0
130,aljgrcprda1 ,4,32.9,D4s_v3 ,0,E4sv3,2.684705056313836e-08,4.0,32.0,4355.0
131,aljgrcprda2 ,4,32.9,D4s_v3 ,0,E4sv3,2.684705056313836e-08,4.0,32.0,4355.0
132,aljgrcprddb ,12,32.9,D16s_v3 ,0,D8s_v3,0.0005039321128605908,8.0,32.0,8710.0
133,aljgrcprddbc ,12,32.9,D16s_v3 ,0,D8s_v3,0.0005039321128605908,8.0,32.0,8710.0
134,aljgrcprdpas ,2,16.4,D2s_v3 ,0,E2sv3,5.303121098891528e-09,2.0,16.0,2178.0
135,aljgrcqa ,4,32.9,D4s_v3 ,0,E4sv3,2.684705056313836e-08,4.0,32.0,4355.0
136,ALJGRCSND ,4,12.2,D4s_v3 ,0,D4s_v3,4.786066791749617e-07,4.0,16.0,4355.0
137,aljepdev ,4,32.9,D4s_v3 ,0,E4sv3,2.684705056313836e-08,4.0,32.0,4355.0
138,aljepprd1 ,8,65.9,D8s_v3 ,0,E8s_v3,1.1965166979374053e-07,8.0,64.0,8710.0
139,aljepprd2 ,8,65.9,D8s_v3 ,0,E8s_v3,1.1965166979374053e-07,8.0,64.0,8710.0
140,aljepprddb ,4,32.9,D4s_v3 ,0,E4sv3,2.684705056313836e-08,4.0,32.0,4355.0
141,aljepprddbc ,4,32.9,D4s_v3 ,0,E4sv3,2.684705056313836e-08,4.0,32.0,4355.0
142,aljepprdpas ,4,32.9,D4s_v3 ,0,E4sv3,2.684705056313836e-08,4.0,32.0,4355.0
143,aljepqa ,8,32.9,D8s_v3 ,0,D8s_v3,2.684705056313836e-08,8.0,32.0,8710.0
144,aljepsnd ,8,32.9,D8s_v3 ,0,D8s_v3,2.684705056313836e-08,8.0,32.0,8710.0
145,ALJSMDEV ,16,198.1,D4s_v3 ,0,E16s_v3,0.0001628724381947751,16.0,128.0,17420.0
146,aljsmprd ,8,132.0,D8s_v3 ,0,E8s_v3,0.00015326019975796552,8.0,64.0,8710.0
147,aljsmprda1 ,4,32.9,D4s_v3 ,0,E4sv3,2.684705056313836e-08,4.0,32.0,4355.0
148,aljsmprda2 ,4,32.9,D4s_v3 ,0,E4sv3,2.684705056313836e-08,4.0,32.0,4355.0
149,aljsmprddb ,16,264.1,M64ls ,0,E16s_v3,0.0006139426610637427,16.0,128.0,17420.0
150,ALJSMQA ,16,198.1,D4s_v3 ,0,E16s_v3,0.0001628724381947751,16.0,128.0,17420.0
151,aljwddev ,4,16.4,D4s_v3 ,0,D4s_v3,5.303121098891528e-09,4.0,16.0,4355.0
152,aljwdprd1 ,4,8.2,D4s_v3 ,0,D4s_v3,2.0165117978535085e-06,4.0,16.0,4355.0
153,aljwdqa ,4,16.4,D4s_v3 ,0,D4s_v3,5.303121098891528e-09,4.0,16.0,4355.0
154,ALJSAPROUTER ,4,8.6,D4s_v3 ,0,D4s_v3,1.8149931960956303e-06,4.0,16.0,4355.0
155,aljbasis ,24,66.0,D32s_v3 ,0,DS15_v2,0.0006854045854195907,20.0,140.0,30430.0
156,aljnw9ci1 ,4,16.4,D4s_v3 ,0,D4s_v3,5.303121098891528e-09,4.0,16.0,4355.0
157,aljnw9ci2 ,4,16.4,D4s_v3 ,0,D4s_v3,5.303121098891528e-09,4.0,16.0,4355.0
158,aljnw9db1 ,8,32.9,D8s_v3 ,0,D8s_v3,2.684705056313836e-08,8.0,32.0,8710.0
159,aljnw9db2 ,8,32.9,D8s_v3 ,0,D8s_v3,2.684705056313836e-08,8.0,32.0,8710.0
160,aljnw9pasfm ,4,8.1,D4s_v3 ,0,D4s_v3,2.068548673636382e-06,4.0,16.0,4355.0
161,ALJSAPGUI ,8,8.6,D8s_v3 ,0,D8s_v3,1.8148606180681578e-05,8.0,32.0,8710.0
